,transfer_year,player_name,team_left,league_left,joined_team,joined_league,fee_in_pounds,transfermarkt_val,position,birth_year,transfer_age
102748,2019,Mateo Kovacic,Real Madrid,LaLiga,Chelsea,Premier League,40000000.0,31000000,Midfielder,1994,25
102749,2019,Youri Tielemans,Monaco,Ligue 1,Leicester,Premier League,40000000.0,34000000,Midfielder,1997,22
102752,2019,Dani Olmo,Dinamo Zagreb,1.HNL,RB Leipzig,Bundesliga,18000000.0,31000000,Midfielder,1998,21
102755,2019,Franck Kessié,Atalanta,Serie A,AC Milan,Serie A,21000000.0,29000000,Midfielder,1997,22
102756,2019,Kerem Demirbay,TSG Hoffenheim,Bundesliga,Bay. Leverkusen,Bundesliga,28000000.0,28000000,Midfielder,1993,26
102757,2019,Marcos Llorente,Real Madrid,LaLiga,Atlético Madrid,LaLiga,27000000.0,18000000,Midfielder,1995,24
102758,2019,Idrissa Gueye,Everton,Premier League,Paris SG,Ligue 1,27000000.0,22000000,Midfielder,1989,30
102759,2019,Reinier,Flamengo,Série A,Real Madrid,LaLiga,27000000.0,22000000,Midfielder,2002,17
102762,2019,Pablo Fornals,Villarreal,LaLiga,West Ham,Premier League,25000000.0,22000000,Midfielder,1996,23
102763,2019,Eden Hazard,Chelsea,Premier League,Real Madrid,LaLiga,103000000.0,135000000,Forward,1991,28
102764,2019,Antoine Griezmann,Atlético Madrid,LaLiga,FC Barcelona,LaLiga,108000000.0,117000000,Forward,1991,28
102765,2019,João Félix,Benfica,Liga NOS,Atlético Madrid,LaLiga,113000000.0,63000000,Forward,2000,19
102766,2019,Nicolas Pépé,LOSC Lille,Ligue 1,Arsenal,Premier League,72000000.0,58000000,Defender,1995,24
102768,2019,Romelu Lukaku,Man Utd,Premier League,Inter,Serie A,66000000.0,67000000,Forward,1993,26
102769,2019,Luka Jovic,E. Frankfurt,Bundesliga,Real Madrid,LaLiga,54000000.0,54000000,Forward,1998,21
102770,2019,Luka Jovic,Benfica,Liga NOS,E. Frankfurt,Bundesliga,20000000.0,54000000,Forward,1998,21
102771,2019,Sébastien Haller,E. Frankfurt,Bundesliga,West Ham,Premier League,45000000.0,36000000,Forward,1994,25
102772,2019,Rodrygo,Santos FC,Série A,Real Madrid,LaLiga,40000000.0,36000000,Defender,2001,18
102773,2019,Erling Haaland,RB Salzburg,Bundesliga,Bor. Dortmund,Bundesliga,18000000.0,40000000,Forward,2000,19
102774,2019,Duván Zapata,Sampdoria,Serie A,Atalanta,Serie A,10000000.0,40000000,Forward,1991,28
102775,2019,Joelinton,TSG Hoffenheim,Bundesliga,Newcastle,Premier League,39000000.0,31000000,Forward,1996,23
102776,2019,Paco Alcácer,Bor. Dortmund,Bundesliga,Villarreal,LaLiga,20000000.0,37000000,Forward,1993,26
102777,2019,Wissam Ben Yedder,Sevilla FC,LaLiga,Monaco,Ligue 1,36000000.0,36000000,Forward,1990,29
102779,2019,Hirving Lozano,PSV Eindhoven,Eredivisie,SSC Napoli,Serie A,34000000.0,36000000,Forward,1995,24
102780,2019,Moise Kean,Juventus,Serie A,Everton,Premier League,24000000.0,36000000,Forward,2000,19
102781,2019,Pablo Sarabia,Sevilla FC,LaLiga,Paris SG,Ligue 1,16000000.0,36000000,Defender,1992,27
102782,2019,Maxi Gómez,Celta de Vigo,LaLiga,Valencia,LaLiga,13000000.0,36000000,Forward,1996,23
102784,2019,Raúl Jiménez,Benfica,Liga NOS,Wolves,Premier League,34000000.0,31000000,Forward,1991,28
102785,2019,Thorgan Hazard,Bor. M'gladbach,Bundesliga,Bor. Dortmund,Bundesliga,22000000.0,34000000,Forward,1993,26
102786,2019,Paco Alcácer,FC Barcelona,LaLiga,Bor. Dortmund,Bundesliga,18000000.0,33000000,Forward,1993,26
102787,2019,Dejan Kulusevski,Atalanta,Serie A,Juventus,Serie A,31000000.0,22000000,Defender,2000,19
102788,2019,Alessandro Russo,Genoa,Serie A,Sassuolo,Serie A,6000000.0,-1,Goalkeeper,2001,18
102789,2019,Radoslaw Majecki,Legia Warszawa,Ekstraklasa,Monaco,Ligue 1,6000000.0,4000000,Goalkeeper,2000,19
102791,2019,Zack Steffen,Columbus Crew,MLS,Man City,Premier League,6000000.0,4000000,Goalkeeper,1995,24
102792,2019,Gabriel Brazão,Parma,Serie A,Inter,Serie A,5000000.0,1000000,Goalkeeper,2000,19
102793,2019,Léo Jardim,Rio Ave FC,Liga NOS,LOSC Lille,Ligue 1,5000000.0,900000,Goalkeeper,1995,24
102796,2019,Predrag Rajkovic,M. Tel Aviv,Ligat ha'Al,Stade Reims,Ligue 1,4000000.0,3000000,Goalkeeper,1996,23
102797,2019,Jesse Joronen,FC Copenhagen,Superligaen Championship round,Brescia,Serie A,4000000.0,2000000,Goalkeeper,1993,26
102798,2019,Dani Martín,Sporting Gijón,LaLiga2,Real Betis,LaLiga,4000000.0,540000,Goalkeeper,1998,21
102807,2019,Darren Randolph,Middlesbrough,Championship,West Ham,Premier League,4000000.0,4000000,Goalkeeper,1987,32
102810,2019,David Ospina,Arsenal,Premier League,SSC Napoli,Serie A,3000000.0,3000000,Goalkeeper,1988,31
102813,2019,Luca Pellegrini,AS Roma,Serie A,Juventus,Serie A,19000000.0,4000000,Defender,1999,20
102816,2019,Theo Hernández,Real Madrid,LaLiga,AC Milan,Serie A,18000000.0,13000000,Defender,1997,22
102817,2019,Felipe,FC Porto,Liga NOS,Atlético Madrid,LaLiga,18000000.0,18000000,Defender,1989,30
102818,2019,Renan Lodi,Athletico-PR,Série A,Atlético Madrid,LaLiga,18000000.0,3000000,Defender,1998,21
102819,2019,David Luiz,Chelsea,Premier League,Arsenal,Premier League,7000000.0,18000000,Defender,1987,32
102820,2019,Aarón Martín,Espanyol,LaLiga,1.FSV Mainz 05,Bundesliga,5000000.0,18000000,Defender,1997,22
102826,2019,Edmond Tapsoba,Vit. Guimarães,Liga NOS,Bay. Leverkusen,Bundesliga,16000000.0,4000000,Defender,1999,20
102827,2019,Guillermo Maripán,Alavés,LaLiga,Monaco,Ligue 1,16000000.0,13000000,Defender,1994,25
102828,2019,Merih Demiral,Sassuolo,Serie A,Juventus,Serie A,16000000.0,13000000,Defender,1998,21
102829,2019,Angeliño,PSV Eindhoven,Eredivisie,Man City,Premier League,10000000.0,14000000,Defender,1997,22
102830,2019,Martin Hinteregger,FC Augsburg,Bundesliga,E. Frankfurt,Bundesliga,8000000.0,14000000,Defender,1992,27
102833,2019,Matt Targett,Southampton,Premier League,Aston Villa,Premier League,13000000.0,6000000,Defender,1995,24
102834,2019,Ozan Kabak,VfB Stuttgart,2. Bundesliga,FC Schalke 04,Bundesliga,13000000.0,13000000,Defender,2000,19
102835,2019,Diego Carlos,FC Nantes,Ligue 1,Sevilla FC,LaLiga,13000000.0,11000000,Defender,1993,26
102836,2019,Merih Demiral,Alanyaspor,Süper Lig,Sassuolo,Serie A,7000000.0,13000000,Defender,1998,21
102838,2019,André Gomes,FC Barcelona,LaLiga,Everton,Premier League,22000000.0,25000000,Midfielder,1993,26
102839,2019,Jean-Philippe Gbamin,1.FSV Mainz 05,Bundesliga,Everton,Premier League,22000000.0,25000000,Midfielder,1995,24
102841,2019,Jeff Reine-Adélaïde,SCO Angers,Ligue 1,Olympique Lyon,Ligue 1,22000000.0,9000000,Midfielder,1998,21
102842,2019,Lucas Tousart,Olympique Lyon,Ligue 1,Hertha BSC,Bundesliga,22000000.0,18000000,Midfielder,1997,22
102843,2019,Thiago Mendes,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,19000000.0,22000000,Midfielder,1992,27
102844,2019,Bryan Cristante,Atalanta,Serie A,AS Roma,Serie A,18000000.0,22000000,Midfielder,1995,24
102845,2019,Exequiel Palacios,River Plate,Superliga,Bay. Leverkusen,Bundesliga,15000000.0,22000000,Midfielder,1998,21
102850,2019,Dennis Praet,Sampdoria,Serie A,Leicester,Premier League,17000000.0,21000000,Midfielder,1994,25
102853,2019,Valentino Lazaro,Hertha BSC,Bundesliga,Inter,Serie A,20000000.0,15000000,Midfield,1996,23
102854,2019,Sander Berge,KRC Genk,Jupiler Pro League,Sheff Utd,Premier League,21000000.0,19000000,Midfielder,1998,21
102855,2019,Filip Kostic,Hamburger SV,2. Bundesliga,E. Frankfurt,Bundesliga,5000000.0,19000000,Midfield,1993,26
102857,2019,Amadou Diawara,SSC Napoli,Serie A,AS Roma,Serie A,18000000.0,13000000,Midfielder,1997,22
102858,2019,Renato Sanches,Bayern Munich ,Bundesliga,LOSC Lille,Ligue 1,18000000.0,16000000,Midfielder,1997,22
102859,2019,Stanislav Lobotka,Celta de Vigo,LaLiga,SSC Napoli,Serie A,18000000.0,18000000,Midfielder,1995,24
102860,2019,Bruno Guimarães,Athletico-PR,Série A,Olympique Lyon,Ligue 1,18000000.0,18000000,Midfielder,1998,21
102862,2019,Diadié Samassékou,RB Salzburg,Bundesliga,TSG Hoffenheim,Bundesliga,12000000.0,18000000,Midfielder,1996,23
102863,2019,Steven Bergwijn,PSV Eindhoven,Eredivisie,Spurs,Premier League,27000000.0,31000000,Forward,1997,22
102868,2019,Ayoze Pérez,Newcastle,Premier League,Leicester,Premier League,30000000.0,18000000,Defender,1993,26
102870,2019,Krzysztof Piatek,AC Milan,Serie A,Hertha BSC,Bundesliga,21000000.0,28000000,Forward,1995,24
102872,2019,Alex Iwobi,Arsenal,Premier League,Everton,Premier League,27000000.0,22000000,Forward,1996,23
102874,2019,Gelson Martins,Atlético Madrid,LaLiga,Monaco,Ligue 1,27000000.0,25000000,Defender,1995,24
102876,2019,Ismaïla Sarr,Stade Rennais,Ligue 1,Watford,Premier League,27000000.0,27000000,Defender,1998,21
102878,2019,Matteo Politano,Sassuolo,Serie A,Inter,Serie A,18000000.0,27000000,Defender,1993,26
102883,2019,Bailey Peacock-Farrell,Leeds,Championship,Burnley,Premier League,2000000.0,1000000,Goalkeeper,1997,22
102888,2019,Borja Iglesias,Espanyol,LaLiga,Real Betis,LaLiga,25000000.0,25000000,Forward,1993,26
102890,2019,Patrick Cutrone,AC Milan,Serie A,Wolves,Premier League,19000000.0,25000000,Forward,1998,21
102896,2019,Rony Lopes,Monaco,Ligue 1,Sevilla FC,LaLiga,22000000.0,22000000,Defender,1996,23
102897,2019,Wesley,Club Brugge,Jupiler Pro League,Aston Villa,Premier League,22000000.0,18000000,Forward,1997,22
102899,2019,Allan Saint-Maximin,OGC Nice,Ligue 1,Newcastle,Premier League,16000000.0,22000000,Forward,1997,22
102902,2019,Guglielmo Vicario,Venezia,Serie B,Cagliari Calcio,Serie A,1000000.0,720000,Goalkeeper,1996,23
102905,2019,Rafael Leão,LOSC Lille,Ligue 1,AC Milan,Serie A,20000000.0,13000000,Forward,1999,20
102906,2019,Oier Olazábal,Levante,LaLiga,Espanyol,LaLiga,1000000.0,1000000,Goalkeeper,1989,30
102907,2019,Raphinha,Sporting CP,Liga NOS,Stade Rennais,Ligue 1,20000000.0,7000000,Defender,1997,22
102908,2019,Alfred Gomis,SPAL,Serie A,Dijon,Ligue 1,900000.0,1000000,Goalkeeper,1993,26
102916,2019,Lloyd Kelly,Bristol City,Championship,Bournemouth,Premier League,13000000.0,8000000,Defender,1998,21
102917,2019,Amir Rrahmani,Hellas Verona,Serie A,SSC Napoli,Serie A,12000000.0,5000000,Defender,1994,25
102918,2019,Ezri Konsa,Brentford,Championship,Aston Villa,Premier League,11000000.0,3000000,Defender,1998,21
102919,2019,Jeison Murillo,Valencia,LaLiga,Sampdoria,Serie A,11000000.0,7000000,Defender,1992,27
102921,2019,Stefan Lainer,RB Salzburg,Bundesliga,Bor. M'gladbach,Bundesliga,11000000.0,11000000,Defender,1992,27
102922,2019,Stanley Nsoki,Paris SG,Ligue 1,OGC Nice,Ligue 1,11000000.0,7000000,Defender,1999,20
102923,2019,Emerson,Atlético-MG,Série A,FC Barcelona,LaLiga,10000000.0,2000000,Defender,1999,20
102924,2019,Pedro Porro,Girona,LaLiga2,Man City,Premier League,10000000.0,9000000,Defender,1999,20
102925,2019,Thierry Correia,Sporting CP,Liga NOS,Valencia,LaLiga,10000000.0,360000,Defender,1999,20
102926,2019,Álex Moreno,Rayo Vallecano,LaLiga2,Real Betis,LaLiga,6000000.0,10000000,Defender,1993,26
102932,2019,Maximilian Wöber,Ajax,Eredivisie,Sevilla FC,LaLiga,9000000.0,9000000,Defender,1998,21
102933,2019,Denis Vavro,FC Copenhagen,Superligaen Championship round,Lazio,Serie A,9000000.0,5000000,Defender,1996,23
102934,2019,Maximilian Wöber,Sevilla FC,LaLiga,RB Salzburg,Bundesliga,9000000.0,9000000,Defender,1998,21
102936,2019,Léo Duarte,Flamengo,Série A,AC Milan,Serie A,9000000.0,3000000,Defender,1996,23
102937,2019,Marin Pongracic,RB Salzburg,Bundesliga,VfL Wolfsburg,Bundesliga,9000000.0,5000000,Defender,1997,22
102943,2019,Nahitan Nández,Boca Juniors,Superliga,Cagliari Calcio,Serie A,16000000.0,16000000,Midfielder,1996,23
102944,2019,Aurélien Tchouaméni,G. Bordeaux,Ligue 1,Monaco,Ligue 1,16000000.0,12000000,Midfielder,2000,19
102945,2019,Leander Dendoncker,RSC Anderlecht,Jupiler Pro League,Wolves,Premier League,12000000.0,16000000,Midfielder,1995,24
102946,2019,Manuel Lazzari,SPAL,Serie A,Lazio,Serie A,12000000.0,16000000,Midfield,1994,25
102950,2019,Yusuf Yazici,Trabzonspor,Süper Lig,LOSC Lille,Ligue 1,15000000.0,11000000,Midfielder,1997,22
102951,2019,Diego Demme,RB Leipzig,Bundesliga,SSC Napoli,Serie A,10000000.0,15000000,Midfielder,1992,27
102952,2019,Óliver Torres,FC Porto,Liga NOS,Sevilla FC,LaLiga,9000000.0,15000000,Midfielder,1995,24
102953,2019,Nadiem Amiri,TSG Hoffenheim,Bundesliga,Bay. Leverkusen,Bundesliga,8000000.0,15000000,Midfielder,1997,22
102955,2019,Douglas Luiz,Man City,Premier League,Aston Villa,Premier League,15000000.0,2000000,Midfielder,1998,21
102956,2019,Stefano Sturaro,Juventus,Serie A,Genoa,Serie A,14000000.0,9000000,Midfielder,1993,26
102957,2019,Philip Billing,Huddersfield,Championship,Bournemouth,Premier League,14000000.0,6000000,Midfielder,1996,23
102958,2019,Eljif Elmas,Fenerbahce,Süper Lig,SSC Napoli,Serie A,14000000.0,9000000,Midfielder,1999,20
102959,2019,Ismaël Bennacer,FC Empoli,Serie B,AC Milan,Serie A,14000000.0,10000000,Midfielder,1998,21
