transfer_year,player_name,team_left,league_left,joined_team,joined_league,fee_in_pounds,transfermarkt_val,position,birth_year,transfer_age
2012,Bas Dost,Heerenveen,Eredivisie,VfL Wolfsburg,Bundesliga,6000000,7000000,Forward,1989,23
2012,Julian Schieber,VfB Stuttgart,Bundesliga,Bor. Dortmund,Bundesliga,4000000,7000000,Forward,1989,23
2012,Jonathan Biabiany,Sampdoria,Serie A,Parma,Serie A,4000000,7000000,Defender,1988,24
2012,Kevin Mirallas,Olympiacos,Super League,Everton,Premier League,6000000,5000000,Defender,1987,25
2012,Dusan Tadic,FC Groningen,Eredivisie,Twente FC,Eredivisie,4000000,6000000,Forward,1989,23
2012,Eren Derdiyok,Bay. Leverkusen,Bundesliga,TSG Hoffenheim,Bundesliga,4000000,6000000,Forward,1988,24
2012,Nenad TomoviÄ‡,Genoa,Serie A,Fiorentina,Serie A,3000000,1000000,Defender,1987,25
2012,Gabriel Silva,Granada CF,LaLiga,Udinese Calcio,Serie A,3000000,2000000,Defender,1991,21
2012,David Abraham,Getafe,LaLiga,TSG Hoffenheim,Bundesliga,3000000,2000000,Defender,1986,26
2012,Francesco Acerbi,AC Milan,Serie A,Genoa,Serie A,3000000,3000000,Defender,1988,24
2012,FabiÃ¡n MonzÃ³n,OGC Nice,Ligue 1,Olympique Lyon,Ligue 1,2000000,3000000,Defender,1987,25
2012,MichaÃ«l Ciani,G. Bordeaux,Ligue 1,Lazio,Serie A,1000000,3000000,Defender,1984,28
2012,Giandomenico Mesto,Genoa,Serie A,SSC Napoli,Serie A,1000000,3000000,Defender,1982,30
2012,Petr Jiracek,VfL Wolfsburg,Bundesliga,Hamburger SV,Bundesliga,3000000,5000000,Midfielder,1986,26
2012,Javi MÃ¡rquez,Espanyol,LaLiga,RCD Mallorca,LaLiga,1000000,5000000,Midfielder,1986,26
2012,Zdravko Kuzmanovic,VfB Stuttgart,Bundesliga,Inter,Serie A,1000000,4000000,Midfielder,1987,25
2012,Alain TraorÃ©,AJ Auxerre,Ligue 2,FC Lorient,Ligue 1,4000000,4000000,Midfielder,1989,23
2012,Alou Diarra,Marseille,Ligue 1,West Ham,Premier League,2000000,4000000,Midfielder,1981,31
2012,Steven Davis,Rangers,League Two,Southampton,Premier League,900000,4000000,Midfielder,1985,27
2012,Theo Janssen,Ajax,Eredivisie,Vitesse,Eredivisie,495000,4000000,Midfielder,1981,31
2012,Steven Pienaar,Spurs,Premier League,Everton,Premier League,5000000,6000000,Forward,1982,30
2012,Luciano Narsingh,Heerenveen,Eredivisie,PSV Eindhoven,Eredivisie,3000000,6000000,Defender,1990,22
2012,Oussama Assaidi,Heerenveen,Eredivisie,Liverpool,Premier League,3000000,6000000,Forward,1988,24
