,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
797,2011,George Elokobi,Centre-Back,34,£2.25m,Wolves,Premier League,Nottm Forest,Championship,Loan,https://www.transfermarkt.co.uk/george-elokobi/profil/spieler/42048
798,2011,Stephen McManus,Centre-Back,38,£2.25m,Middlesbrough,Championship,Bristol City,Championship,Loan,https://www.transfermarkt.co.uk/stephen-mcmanus/profil/spieler/21334
799,2011,Alexis Ruano,Centre-Back,35,£2.25m,Sevilla FC,LaLiga,Getafe,LaLiga,Loan,https://www.transfermarkt.co.uk/alexis-ruano/profil/spieler/7781
800,2011,André Bikey,Centre-Back,35,£2.25m,Burnley,Championship,Bristol City,Championship,Loan,https://www.transfermarkt.co.uk/andre-bikey/profil/spieler/14270
801,2011,Alex Silva,Centre-Back,35,£2.25m,Flamengo,Série A,Cruzeiro,Série A,Loan,https://www.transfermarkt.co.uk/alex-silva/profil/spieler/26100
802,2011,Dabao Yu,Centre-Back,32,£225Th.,TJ Teda,Super League,DL Aerbin,Super League,£2.19m,https://www.transfermarkt.co.uk/dabao-yu/profil/spieler/58386
803,2011,Kamil Glik,Centre-Back,32,£1.08m,US Palermo,Serie A,Torino,Serie B,£2.12m,https://www.transfermarkt.co.uk/kamil-glik/profil/spieler/46552
804,2011,Gary Kagelmacher,Centre-Back,32,£1.35m,Beerschot AC,Jupiler Pro League,Monaco,Ligue 2,£2.07m,https://www.transfermarkt.co.uk/gary-kagelmacher/profil/spieler/58890
805,2011,Maykon,Left-Back,36,£2.07m,Paços Ferreira,Liga NOS,Leiria,Liga NOS,Free transfer,https://www.transfermarkt.co.uk/maykon/profil/spieler/77750
806,2011,Anthar Yahia,Centre-Back,38,£2.03m,VfL Bochum,2. Bundesliga,Al-Nassr,Professional League,£675Th.,https://www.transfermarkt.co.uk/anthar-yahia/profil/spieler/5586
807,2011,Ignacio Fideleff,Centre-Back,31,£630Th.,Newell's,Torneo Final,SSC Napoli,Serie A,£1.98m,https://www.transfermarkt.co.uk/ignacio-fideleff/profil/spieler/66960
808,2011,Behrang Safari,Left-Back,35,£1.98m,FC Basel,Super League,RSC Anderlecht,Jupiler Pro League,Free transfer,https://www.transfermarkt.co.uk/behrang-safari/profil/spieler/18807
809,2011,Abdurrahman Dereli,Right-Back,39,£1.98m,Sivasspor,Süper Lig,Orduspor,Süper Lig,?,https://www.transfermarkt.co.uk/abdurrahman-dereli/profil/spieler/7937
