,transfer_year,player_name,team_left,league_left,joined_team,joined_league,fee_in_pounds,transfermarkt_val,position,birth_year,transfer_age
76573,2016,Eunan O'Kane,Bournemouth,Premier League,Leeds,Championship,450000.0,1000000,Midfielder,1990,26
76577,2016,Christoph Moritz,1.FSV Mainz 05,Bundesliga,1.FC K'lautern,2. Bundesliga,225000.0,1000000,Midfielder,1990,26
76610,2016,Trezeguet,El Ahly,Premier League,RSC Anderlecht,Jupiler Pro League,1000000.0,1000000,Forward,1994,22
76619,2016,Pawel Wszolek,Sampdoria,Serie A,Hellas Verona,Serie B,1000000.0,1000000,Defender,1992,24
76621,2016,Paul Gladon,Heracles Almelo,Eredivisie,Wolves,Championship,1000000.0,585000,Forward,1992,24
76642,2016,Immanuel Höhn,SC Freiburg,Bundesliga,SV Darmstadt 98,Bundesliga,675000.0,1000000,Defender,1992,24
76643,2016,Fabrizio Cacciatore,Sampdoria,Serie A,Chievo Verona,Serie A,470000.0,1000000,Defender,1986,30
76697,2016,Alessandro Matri,AC Milan,Serie A,Sassuolo,Serie A,1000000.0,1000000,Forward,1984,32
76698,2016,José Naranjo,Celta de Vigo,LaLiga,KRC Genk,Jupiler Pro League,1000000.0,1000000,Forward,1994,22
76701,2016,Lucas Andersen,Ajax,Eredivisie,Grasshoppers,Super League,1000000.0,1000000,Forward,1994,22
76707,2016,Roy Beerens,Hertha BSC,Bundesliga,Reading,Championship,900000.0,1000000,Defender,1988,28
76716,2016,Arnaud Souquet,Dijon,Ligue 1,OGC Nice,Ligue 1,1000000.0,630000,Defender,1992,24
76719,2016,Kosuke Ota,Vitesse,Eredivisie,FC Tokyo,J1 League,675000.0,1000000,Defender,1987,29
76868,2016,Renato Ibarra,Vitesse,Eredivisie,América,Liga MX Clausura,1000000.0,1000000,Defender,1991,25
76881,2016,Hans Hateboer,FC Groningen,Eredivisie,Atalanta,Serie A,936000.0,900000,Defender,1994,22
76886,2016,Marvin Friedrich,FC Schalke 04,Bundesliga,FC Augsburg,Bundesliga,900000.0,675000,Defender,1996,20
76919,2016,Saber Khalifa,Marseille,Ligue 1,Club Africain,Ligue I Pro,900000.0,1000000,Forward,1987,29
76945,2016,Danny da Costa,FC Ingolstadt,Bundesliga,Bay. Leverkusen,Bundesliga,450000.0,900000,Defender,1993,23
76946,2016,Santiago Gentiletti,Lazio,Serie A,Genoa,Serie A,450000.0,900000,Defender,1985,31
76954,2016,Florian Jungwirth,SV Darmstadt 98,Bundesliga,Quakes,MLS,90000.0,900000,Defender,1989,27
76973,2016,Leonardo Capezzi,Crotone,Serie A,Sampdoria,Serie A,900000.0,1000000,Midfielder,1995,21
76974,2016,Leonardo Capezzi,Fiorentina,Serie A,Crotone,Serie A,630000.0,1000000,Midfielder,1995,21
76975,2016,Felix Kroos,Werder Bremen,Bundesliga,Union Berlin,2. Bundesliga,450000.0,1000000,Midfielder,1991,25
76979,2016,Ferjani Sassi,FC Metz,Ligue 1,Esperance,Ligue I Pro,698000.0,1000000,Midfielder,1992,24
77062,2016,Ahmad Benali,US Palermo,Serie A,Pescara,Serie A,900000.0,1000000,Midfielder,1992,24
77067,2016,Nikola Ninkovic,Chievo Verona,Serie A,Genoa,Serie A,1000000.0,900000,Forward,1995,21
77069,2016,Wout Weghorst,Heracles Almelo,Eredivisie,AZ Alkmaar,Eredivisie,1000000.0,1000000,Forward,1992,24
77076,2016,Robert Leipertz,FC Schalke 04,Bundesliga,FC Ingolstadt,Bundesliga,1000000.0,1000000,Defender,1993,23
77077,2016,Will Keane,Man Utd,Premier League,Hull City,Premier League,1000000.0,1000000,Forward,1993,23
77078,2016,Tobias Werner,FC Augsburg,Bundesliga,VfB Stuttgart,2. Bundesliga,900000.0,1000000,Forward,1985,31
77083,2016,Antonio Floro Flores,Sassuolo,Serie A,Chievo Verona,Serie A,540000.0,1000000,Forward,1983,33
77112,2016,José Campaña,Sampdoria,Serie A,Levante,LaLiga 1|2|3,450000.0,1000000,Midfielder,1993,23
77137,2016,Luka Zahovic,Heerenveen,Eredivisie,NK Maribor,Prva Liga,225000.0,1000000,Forward,1996,20
